                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.8847,                 5.1723,                 2.8953,                      0,                      0,                      0,                      0,                 2.8357,                 5.8507,                 3.2106,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 2.9511,                  5.181,                 2.8933,                      0,                      0,                      0,                      0,                 2.8357,                 5.8507,                 3.2106,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 2.7829,                 5.0877,                 2.7534,                      0,                      0,                      0,                      0,                  2.813,                 5.8457,                 3.1944,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.5999,                  5.126,                 2.6093,                      0,                      0,                      0,                      0,                  2.813,                 5.8457,                 3.1944,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 3.1218,                 5.1915,                 2.8089,                      0,                      0,                      0,                      0,                 2.7953,                 5.8398,                 3.1723,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 2.7438,                 5.0718,                 2.7331,                      0,                      0,                      0,                      0,                 2.7953,                 5.8398,                 3.1723,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 2.3039,                 5.1469,                 2.5104,                      0,                      0,                      0,                      0,                 2.7828,                 5.8069,                 3.1518,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 2.9132,                 5.2727,                 2.9285,                      0,                      0,                      0,                      0,                 2.7828,                 5.8069,                 3.1518,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 2.8248,                 4.9146,                 2.7127,                      0,                      0,                      0,                      0,                 2.7917,                 5.7931,                 3.1405,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 2.9579,                  4.956,                 2.7697,                      0,                      0,                      0,                      0,                 2.7917,                 5.7931,                 3.1405,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 2.6437,                  4.947,                 2.5599,                      0,                      0,                      0,                      0,                 2.7856,                 5.7893,                 3.1242,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 2.6508,                 4.9591,                  2.749,                      0,                      0,                      0,                      0,                 2.7856,                 5.7893,                 3.1242,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 2.5941,                 4.7744,                 2.6295,                      0,                      0,                      0,                      0,                 2.7803,                 5.7889,                 3.1125,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 2.9554,                 4.9079,                 2.7894,                      0,                      0,                      0,                      0,                 2.7803,                 5.7889,                 3.1125,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 2.6246,                 4.9399,                   2.89,                      0,                      0,                      0,                      0,                 2.7883,                 5.7939,                 3.0963,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 2.2935,                 4.7157,                 2.5536,                      0,                      0,                      0,                      0,                 2.7883,                 5.7939,                 3.0963,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 2.6297,                 4.8794,                 2.5953,                      0,                      0,                      0,                      0,                  2.773,                 5.8049,                 3.0675,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 2.6892,                 4.7996,                 2.7666,                      0,                      0,                      0,                      0,                  2.773,                 5.8049,                 3.0675,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 2.7776,                 4.8225,                 2.6119,                      0,                      0,                      0,                      0,                  2.773,                 5.8049,                 3.0675,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                   2.96,                 4.8842,                 2.7347,                      0,                      0,                      0,                      0,                  2.772,                 5.8262,                 3.0409,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 2.5173,                 4.8802,                 2.5351,                      0,                      0,                      0,                      0,                  2.772,                 5.8262,                 3.0409,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 3.2144,                   5.25,                 2.9908,                      0,                      0,                      0,                      0,                  2.772,                 5.8262,                 3.0409,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 2.9951,                 4.8746,                 2.8154,                      0,                      0,                      0,                      0,                 2.8277,                 5.8342,                 3.0005,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 2.8217,                  4.861,                  2.735,                      0,                      0,                      0,                      0,                 2.8277,                 5.8342,                 3.0005,             2.9554e-05,             2.9554e-05,             2.9554e-05
